Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Rogue Scout	Fire - Normal	100	0	271	1	1	3	150	merc01	merc41	100	100	45	9	15	8	35	10	45	16	10	12		1	3	2	0	8	bow		farw	75	Critical Strike	4	10	0	1	10	Fire Arrow	4	25	5	1	10	Prayer	1	10	0	3	7																			2	1	2	0
Rogue Scout	Fire - Normal	100	0	271	1	1	36	150	merc01	merc41	100	100	342	18	279	15	77	10	111	16	406	24	1	9	11	4	66	7	bow		farw	75	Critical Strike	4	10	0	12	10	Exploding Arrow	4	67	0	12	10	Prayer	1	10	0	11	7																			2	1	2	0
Rogue Scout	Fire - Normal	100	0	271	1	1	67	150	merc01	merc41	100	100	900	30	744	22	116	10	173	16	1150	36	2	25	27	6	121	5	bow		farw	75	Critical Strike	4	10	0	22	10	Exploding Arrow	4	67	0	22	10	Prayer	1	10	0	18	0																			2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	3	150	merc01	merc41	150	105	45	9	15	8	35	10	45	16	10	12		1	3	2	0	8	bow		carw	75	Critical Strike	4	10	0	1	10	Cold Arrow	4	25	5	1	10	Prayer	1	10	0	3	7																			2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	36	150	merc01	merc41	150	105	342	18	279	15	77	10	111	16	406	24	1	9	11	4	66	7	bow		carw	75	Critical Strike	4	10	0	12	10	Cold Arrow	4	67	0	12	10	Prayer	1	10	0	11	7																			2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	67	150	merc01	merc41	150	105	900	30	744	22	116	10	173	16	1150	36	2	25	27	6	121	5	bow		carw	75	Critical Strike	4	10	0	22	10	Cold Arrow	4	67	0	22	10	Prayer	1	10	0	18	0																			2	1	2	0
Rogue Scout	Fire - Nightmare	100	2	271	1	2	36	150	merc01	merc41	6000	110	308	18	251	15	74	10	106	16	365	24	1	8	10	4	63	7	bow		farw	75	Critical Strike	4	10	0	12	10	Exploding Arrow	4	69	0	11	10	Prayer	1	10	0	11	7																			2	1	2	0
Rogue Scout	Fire - Nightmare	100	2	271	1	2	67	150	merc01	merc41	6000	110	866	30	716	22	113	10	168	16	1109	36	2	24	26	6	118	5	bow		farw	75	Critical Strike	4	10	0	22	10	Exploding Arrow	4	69	0	21	10	Prayer	1	10	0	18	0																			2	1	2	0
Rogue Scout	Ice - Nightmare	100	3	271	1	2	36	150	merc01	merc41	7500	115	308	18	251	15	74	10	106	16	365	24	1	8	10	4	63	7	bow		carw	75	Critical Strike	4	10	0	11	10	Cold Arrow	4	69	0	11	10	Prayer	1	10	0	11	7																			2	1	2	0
Rogue Scout	Ice - Nightmare	100	3	271	1	2	67	150	merc01	merc41	7500	115	866	30	716	22	113	10	168	16	1109	36	2	24	26	6	118	5	bow		carw	75	Critical Strike	4	10	0	21	10	Cold Arrow	4	69	0	21	10	Prayer	1	10	0	18	0																			2	1	2	0
